section_id,question_text,answer_choices,correct_answer
8,"저는 아침에 학교에 갔어요."에서 "아침"의 의미는 무엇인가요?,"낮,저녁,새벽,아침",아침
8,"이 책은 아주 재미있어요."에서 '아주'는 어떤 의미인가요?,"조금,매우,전혀,많이",매우
8,"날씨가 너무 추워요."에서 '추워요'의 반대말은 무엇인가요?,"덥다,시원하다,따뜻하다,차갑다",따뜻하다
8,"내일 친구를 만날 거예요."에서 '만날 거예요'는 어떤 시간에 일어날 일을 나타내나요?,"과거,현재,미래,매일",미래
8,"집에 갑니다."에서 '갑니다'는 어떤 동사인가요?,"가다,오다,타다,기다리다",가다

10,"저는 한국 음식을 좋아해요."에서 '좋아해요'는 무슨 뜻인가요?,"싫어하다,좋아하다,무시하다,잊다",좋아하다
10,"서울은 한국의 수도입니다."에서 '수도'는 무엇을 뜻하나요?,"작은 도시,나라의 중심 도시,산,바다",나라의 중심 도시
10,"오늘은 날씨가 흐리고 바람이 많이 불어요."에서 '흐리고'의 의미는 무엇인가요?,"맑다,구름이 많다,덥다,춥다",구름이 많다
10,"친구와 같이 영화를 봤어요."에서 '같이'의 의미는 무엇인가요?,"혼자,함께,멀리,빠르게",함께
10,"저는 매일 운동해요."에서 '매일'은 얼마나 자주 운동하는 것을 뜻하나요?,"가끔,자주,매일,거의 안 함",매일

12,"이 책은 어렵지만 읽을 만해요."에서 '읽을 만하다'는 무슨 의미인가요?,"읽기 싫다,읽을 가치가 없다,읽을 가치가 있다,읽기 힘들다",읽을 가치가 있다
12,"한국어를 배우는 것이 쉽지 않아요."에서 '쉽지 않아요'는 무엇을 의미하나요?,"쉽다,어렵다,재미있다,지루하다",어렵다
12,"내년에는 유럽으로 여행을 갈 계획이에요."에서 '계획'의 의미는 무엇인가요?,"생각,결정,목표,계획",계획
12,"그는 항상 친절해서 사람들이 좋아합니다."에서 '친절해서'는 어떤 이유로 사람들이 그를 좋아하는지를 설명하고 있나요?,"성격이 나빠서,성격이 좋아서,무례해서,게을러서",성격이 좋아서
12,"나는 어제 도서관에서 많은 책을 빌렸어요."에서 '많은'은 무엇을 설명하고 있나요?,"책의 양,책의 종류,책의 크기,책의 상태",책의 양

14,"그의 말은 논리적이지만 몇 가지 문제가 있습니다."에서 '논리적'은 무엇을 설명하고 있나요?,"말이 이해하기 어렵다,말이 합리적이다,말이 감정적이다,말이 혼란스럽다",말이 합리적이다
14,"우리는 상황을 신중하게 고려해야 합니다."에서 '신중하게'는 어떤 방식으로 고려해야 한다는 뜻인가요?,"가볍게,조심스럽게,급하게,대충",조심스럽게
14,"이번 회의는 매우 중요합니다."에서 '매우'의 의미는 무엇인가요?,"조금,아주,전혀,가끔",아주
14,"그녀는 건강을 위해 매일 운동을 합니다."에서 '위해'는 무슨 의미인가요?,"반대,목적,방법,이유",목적
14,"그는 자신의 실수를 인정했습니다."에서 '인정했습니다'는 무엇을 의미하나요?,"거부하다,반박하다,받아들이다,무시하다",받아들이다

16,"이 연구 결과는 매우 신뢰할 만합니다."에서 '신뢰할 만하다'는 무슨 뜻인가요?,"믿을 수 없다,믿을 가치가 있다,의심스럽다,무시할 만하다",믿을 가치가 있다
16,"그는 모든 상황을 객관적으로 분석했습니다."에서 '객관적'의 반대말은 무엇인가요?,"주관적,비판적,논리적,감정적",주관적
16,"환경 문제는 전 세계적으로 중요한 이슈입니다."에서 '전 세계적으로'는 무엇을 설명하고 있나요?,"특정 지역에서만 중요하다,모든 국가에서 중요하다,일부 사람들에게만 중요하다,미래에는 중요하지 않다",모든 국가에서 중요하다
16,"그는 매사에 신중하게 행동하는 편입니다."에서 '신중하게 행동하다'는 어떤 행동을 의미하나요?,"조심스럽게,급하게,무모하게,대충",조심스럽게
16,"그의 의견은 설득력이 강합니다."에서 '설득력'의 의미는 무엇인가요?,"사람을 잘 설득한다,사람을 설득하지 못한다,의견이 논리적이다,의견이 감정적이다",의견이 논리적이다

18,"그의 연구는 매우 혁신적이며 기존 이론을 완전히 뒤엎었습니다."에서 '혁신적'은 무슨 뜻인가요?,"새로운,오래된,잘못된,수정된",새로운
18,"이 결과는 우리가 예상했던 것과 다릅니다."에서 '예상했던 것과 다르다'는 무슨 의미인가요?,"예측이 정확했다,결과가 틀렸다,예상과 맞지 않았다,결과가 동일하다",예상과 맞지 않았다
18,"그는 자신의 실패를 극복하고 더 나은 성과를 거두었습니다."에서 '극복하다'는 어떤 의미인가요?,"문제를 해결하다,어려움을 회피하다,도전을 피하다,실패를 무시하다",문제를 해결하다

